Name	Accurate_Mass	Formal_Charge	Physiological_Charge	logP_ALOGPS	logP_ChemAxon	logS	pKa_Strongest_Acidic	pKa_Strongest_Basic	Hydrogen_Acceptor_Count	Hydrogen_Donor_Count	Polar_Surface_Area	Rotatable_Bond_Count	Refractivity	Polarizability
NAD	664.1169467	1	-1	-1.18	-10	-2.59	1.86	5	15	8	318.26	11	142	55.86
NAD	664.1169467	1	-1	-1.18	-10	-2.59	1.86	5	15	8	318.26	11	142	55.86
NAD	664.1169467	1	-1	-1.18	-10	-2.59	1.86	5	15	8	318.26	11	142	55.86
NAD	664.1169467	1	-1	-1.18	-10	-2.59	1.86	5	15	8	318.26	11	142	55.86
NAD	664.1169467	1	-1	-1.18	-10	-2.59	1.86	5	15	8	318.26	11	142	55.86
NAD	664.1169467	1	-1	-1.18	-10	-2.59	1.86	5	15	8	318.26	11	142	55.86
NAD	664.1169467	1	-1	-1.18	-10	-2.59	1.86	5	15	8	318.26	11	142	55.86
NAD	664.1169467	1	-1	-1.18	-10	-2.59	1.86	5	15	8	318.26	11	142	55.86
NAD	664.1169467	1	-1	-1.18	-10	-2.59	1.86	5	15	8	318.26	11	142	55.86
NAD	664.1169467	1	-1	-1.18	-10	-2.59	1.86	5	15	8	318.26	11	142	55.86
NAD	664.1169467	1	-1	-1.18	-10	-2.59	1.86	5	15	8	318.26	11	142	55.86
NAD	664.1169467	1	-1	-1.18	-10	-2.59	1.86	5	15	8	318.26	11	142	55.86
NAD	664.1169467	1	-1	-1.18	-10	-2.59	1.86	5	15	8	318.26	11	142	55.86
NAD	664.1169467	1	-1	-1.18	-10	-2.59	1.86	5	15	8	318.26	11	142	55.86
NAD	664.1169467	1	-1	-1.18	-10	-2.59	1.86	5	15	8	318.26	11	142	55.86
NAD	664.1169467	1	-1	-1.18	-10	-2.59	1.86	5	15	8	318.26	11	142	55.86
NAD	664.1169467	1	-1	-1.18	-10	-2.59	1.86	5	15	8	318.26	11	142	55.86
NAD	664.1169467	1	-1	-1.18	-10	-2.59	1.86	5	15	8	318.26	11	142	55.86
NAD	664.1169467	1	-1	-1.18	-10	-2.59	1.86	5	15	8	318.26	11	142	55.86
NAD	664.1169467	1	-1	-1.18	-10	-2.59	1.86	5	15	8	318.26	11	142	55.86
NAD	664.1169467	1	-1	-1.18	-10	-2.59	1.86	5	15	8	318.26	11	142	55.86
NAD	664.1169467	1	-1	-1.18	-10	-2.59	1.86	5	15	8	318.26	11	142	55.86
NAD	664.1169467	1	-1	-1.18	-10	-2.59	1.86	5	15	8	318.26	11	142	55.86
